# Force coefficients
# liftDir   : (0.0000e+00 1.0000e+00 0.0000e+00)
# dragDir   : (1.0000e+00 0.0000e+00 0.0000e+00)
# pitchAxis : (4.4208e-01 -6.0854e-02 8.9491e-01)
# magUInf   : 1.0000e+00
# lRef      : 1.0000e+00
# Aref      : 1.0000e+00
# CofR      : (0.0000e+00 0.0000e+00 0.0000e+00)
# Time      	Cm          	Cd          	Cl          	Cl(f)       	Cl(r)       
0           	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
0.001       	5.3182e-02	1.3776e-01	2.2036e-01	1.6336e-01	5.7000e-02
0.002       	2.8943e-01	7.1045e-01	1.1354e+00	8.5716e-01	2.7829e-01
0.003       	9.9354e-02	3.9795e-01	5.0883e-01	3.5377e-01	1.5506e-01
0.004       	-1.0959e-01	-1.4734e-01	-3.5681e-01	-2.8800e-01	-6.8812e-02
0.005       	-2.0909e-01	-3.8421e-01	-6.7330e-01	-5.4574e-01	-1.2755e-01
0.006       	-4.9926e-02	-1.6479e-01	-1.3607e-01	-1.1796e-01	-1.8109e-02
0.007       	1.5926e-01	1.6262e-01	4.3962e-01	3.7907e-01	6.0551e-02
0.008       	1.5110e-01	2.5154e-01	4.4228e-01	3.7225e-01	7.0037e-02
0.009       	-6.4121e-02	8.4994e-02	-6.7444e-02	-9.7842e-02	3.0399e-02
0.01        	-1.6843e-01	-8.0272e-02	-3.2966e-01	-3.3326e-01	3.5936e-03
0.011       	-6.6914e-02	-8.7359e-02	-1.6120e-01	-1.4751e-01	-1.3684e-02
0.012       	9.3473e-02	4.9267e-02	2.6144e-01	2.2419e-01	3.7246e-02
0.013       	1.3499e-01	1.3680e-01	3.9234e-01	3.3116e-01	6.1178e-02
0.014       	3.9904e-02	1.1267e-01	2.0085e-01	1.4033e-01	6.0519e-02
0.015       	-1.7698e-02	6.5425e-02	4.0897e-02	2.7502e-03	3.8146e-02
0.016       	-1.1185e-01	-3.4551e-02	-2.0566e-01	-2.1468e-01	9.0172e-03
0.017       	-6.4372e-02	-1.7110e-02	-1.0107e-01	-1.1491e-01	1.3837e-02
0.018       	-1.9262e-02	1.9483e-02	2.0855e-02	-8.8342e-03	2.9689e-02
0.019       	1.3134e-01	1.5806e-01	4.2129e-01	3.4199e-01	7.9301e-02
0.02        	1.1779e-01	1.6115e-01	4.0528e-01	3.2043e-01	8.4847e-02
