# Force coefficients
# dragDir   : (1.0000e+00 0.0000e+00 0.0000e+00)
# sideDir   : (0.0000e+00 0.0000e+00 -1.0000e+00)
# liftDir   : (0.0000e+00 1.0000e+00 0.0000e+00)
# rollAxis  : (1.0000e+00 0.0000e+00 0.0000e+00)
# pitchAxis : (0.0000e+00 0.0000e+00 -1.0000e+00)
# yawAxis   : (0.0000e+00 1.0000e+00 0.0000e+00)
# magUInf   : 1.0000e+00
# lRef      : 1.0000e+00
# Aref      : 1.0000e+00
# CofR      : (0.0000e+00 0.0000e+00 0.0000e+00)
#
# Time      	Cd          	Cs          	Cl          	CmRoll      	CmPitch     	CmYaw       	Cd(f)       	Cd(r)       	Cs(f)       	Cs(r)       	Cl(f)       	Cl(r)       
0.001       	2.4658e+01	-3.1297e-20	5.4182e+01	-2.7091e+01	-2.9729e+01	1.2329e+01	-1.4762e+01	3.9420e+01	1.2329e+01	-1.2329e+01	-2.6379e+00	5.6820e+01
0.002       	1.1791e+01	-8.5576e-20	-3.6220e+00	1.8110e+00	3.8172e+00	5.8956e+00	7.7066e+00	4.0846e+00	5.8956e+00	-5.8956e+00	2.0062e+00	-5.6282e+00
0.003       	1.9107e+01	-5.9256e-20	5.5561e+01	-2.7780e+01	-3.3019e+01	9.5533e+00	-1.8227e+01	3.7334e+01	9.5533e+00	-9.5533e+00	-5.2386e+00	6.0799e+01
0.004       	6.7375e+00	9.1564e-21	7.2605e+01	-3.6303e+01	-4.5619e+01	3.3687e+00	-3.2934e+01	3.9671e+01	3.3687e+00	-3.3687e+00	-9.3169e+00	8.1922e+01
0.005       	-7.3318e+00	4.1713e-20	3.4119e+01	-1.7060e+01	-2.3678e+01	-3.6659e+00	-2.0726e+01	1.3394e+01	-3.6659e+00	3.6659e+00	-6.6183e+00	4.0738e+01
0.006       	-3.3858e+00	4.8888e-20	2.2427e+01	-1.1214e+01	-1.6403e+01	-1.6929e+00	-1.2907e+01	9.5209e+00	-1.6929e+00	1.6929e+00	-5.1888e+00	2.7616e+01
0.007       	1.0150e+01	1.5911e-20	7.9652e+00	-3.9826e+00	-3.0891e+00	5.0752e+00	1.0926e+00	9.0578e+00	5.0752e+00	-5.0752e+00	8.9350e-01	7.0717e+00
0.008       	2.5240e+01	-2.0742e-20	2.9617e+01	-1.4808e+01	-1.7289e+01	1.2620e+01	-2.1883e+00	2.7428e+01	1.2620e+01	-1.2620e+01	-2.4807e+00	3.2097e+01
0.009       	1.9907e+01	-2.6052e-20	2.4453e+01	-1.2226e+01	-1.4783e+01	9.9533e+00	-2.2732e+00	2.2180e+01	9.9533e+00	-9.9533e+00	-2.5566e+00	2.7010e+01
0.01        	-2.4243e+00	-1.4226e-20	1.6484e+01	-8.2422e+00	-9.9527e+00	-1.2122e+00	-9.4544e+00	7.0300e+00	-1.2122e+00	1.2122e+00	-1.7105e+00	1.8195e+01
0.011       	-1.5195e+01	6.1750e-21	-3.0058e+00	1.5029e+00	1.9428e+00	-7.5977e+00	-6.0948e+00	-9.1006e+00	-7.5977e+00	7.5977e+00	4.3993e-01	-3.4458e+00
0.012       	-1.1845e+01	1.0480e-20	-3.1822e+00	1.5911e+00	2.2046e+00	-5.9225e+00	-4.3314e+00	-7.5135e+00	-5.9225e+00	5.9225e+00	6.1351e-01	-3.7957e+00
0.013       	2.6115e-01	1.1507e-20	-2.2461e+01	1.1231e+01	1.3010e+01	1.3057e-01	1.1361e+01	-1.1100e+01	1.3057e-01	-1.3057e-01	1.7793e+00	-2.4241e+01
