# Force coefficients
# dragDir   : (1.0000e+00 0.0000e+00 0.0000e+00)
# sideDir   : (0.0000e+00 0.0000e+00 -1.0000e+00)
# liftDir   : (0.0000e+00 1.0000e+00 0.0000e+00)
# rollAxis  : (1.0000e+00 0.0000e+00 0.0000e+00)
# pitchAxis : (0.0000e+00 0.0000e+00 -1.0000e+00)
# yawAxis   : (0.0000e+00 1.0000e+00 0.0000e+00)
# magUInf   : 1.0000e+00
# lRef      : 1.0000e+00
# Aref      : 1.0000e+00
# CofR      : (0.0000e+00 0.0000e+00 0.0000e+00)
#
# Time      	Cd          	Cs          	Cl          	CmRoll      	CmPitch     	CmYaw       	Cd(f)       	Cd(r)       	Cs(f)       	Cs(r)       	Cl(f)       	Cl(r)       
0.001       	2.3927e-01	-3.0101e-22	5.2668e-01	-2.6334e-01	-2.8904e-01	1.1964e-01	-1.4370e-01	3.8298e-01	1.1964e-01	-1.1964e-01	-2.5702e-02	5.5238e-01
0.002       	1.9924e-01	-7.3591e-21	-9.0093e-01	4.5047e-01	5.4046e-01	9.9621e-02	5.5009e-01	-3.5085e-01	9.9621e-02	-9.9621e-02	8.9988e-02	-9.9092e-01
0.003       	5.2023e-01	-6.4832e-21	8.9065e-01	-4.4532e-01	-4.6836e-01	2.6011e-01	-1.8521e-01	7.0544e-01	2.6011e-01	-2.6011e-01	-2.3034e-02	9.1368e-01
0.004       	1.1539e-01	7.6084e-22	3.6641e-01	-1.8320e-01	-3.1605e-01	5.7694e-02	-1.2551e-01	2.4090e-01	5.7694e-02	-5.7694e-02	-1.3285e-01	4.9925e-01
0.005       	1.5154e-01	3.6970e-21	6.6685e-01	-3.3343e-01	-6.4169e-01	7.5771e-02	-2.5765e-01	4.0920e-01	7.5771e-02	-7.5771e-02	-3.0827e-01	9.7512e-01
0.006       	-2.1449e-01	4.0559e-21	-5.1185e-01	2.5592e-01	1.9907e-01	-1.0724e-01	1.4868e-01	-3.6317e-01	-1.0724e-01	1.0724e-01	-5.6855e-02	-4.5499e-01
0.007       	-1.7104e-01	-4.6843e-22	-6.6909e-01	3.3455e-01	4.2995e-01	-8.5518e-02	2.4903e-01	-4.2006e-01	-8.5518e-02	8.5518e-02	9.5406e-02	-7.6450e-01
0.008       	-1.1673e-02	-3.7378e-21	-5.6704e-02	2.8352e-02	2.6105e-01	-5.8364e-03	2.2515e-02	-3.4188e-02	-5.8364e-03	5.8364e-03	2.3270e-01	-2.8941e-01
0.009       	7.4517e-01	-1.3925e-21	2.1635e+00	-1.0817e+00	-9.9090e-01	3.7258e-01	-7.0916e-01	1.4543e+00	3.7258e-01	-3.7258e-01	9.0847e-02	2.0726e+00
0.01        	7.7045e-01	1.2764e-21	2.2722e+00	-1.1361e+00	-1.1818e+00	3.8523e-01	-7.5088e-01	1.5213e+00	3.8523e-01	-3.8523e-01	-4.5709e-02	2.3179e+00
0.011       	3.5875e-01	1.5723e-21	9.9471e-01	-4.9735e-01	-5.8911e-01	1.7938e-01	-3.1798e-01	6.7673e-01	1.7938e-01	-1.7938e-01	-9.1758e-02	1.0865e+00
0.012       	-1.8869e-01	1.5962e-21	-7.4497e-01	3.7248e-01	3.9993e-01	-9.4345e-02	2.7814e-01	-4.6683e-01	-9.4345e-02	9.4345e-02	2.7442e-02	-7.7241e-01
0.013       	-3.2833e-01	-4.0608e-22	-1.0923e+00	5.4616e-01	6.2641e-01	-1.6417e-01	3.8199e-01	-7.1033e-01	-1.6417e-01	1.6417e-01	8.0250e-02	-1.1726e+00
0.014       	-8.2546e-02	-1.4580e-21	-2.0089e-01	1.0044e-01	1.8346e-01	-4.1273e-02	5.9171e-02	-1.4172e-01	-4.1273e-02	4.1273e-02	8.3017e-02	-2.8391e-01
0.015       	2.9452e-01	-1.0326e-21	1.0248e+00	-5.1240e-01	-4.8263e-01	1.4726e-01	-3.6515e-01	6.5966e-01	1.4726e-01	-1.4726e-01	2.9775e-02	9.9503e-01
0.016       	4.2627e-01	2.5158e-22	1.3650e+00	-6.8252e-01	-6.7858e-01	2.1313e-01	-4.6938e-01	8.9565e-01	2.1313e-01	-2.1313e-01	3.9376e-03	1.3611e+00
0.017       	2.1285e-01	1.1377e-21	5.5903e-01	-2.7952e-01	-2.2174e-01	1.0643e-01	-1.7309e-01	3.8594e-01	1.0643e-01	-1.0643e-01	5.7780e-02	5.0125e-01
