# Force coefficients
# dragDir   : (1.0000e+00 0.0000e+00 0.0000e+00)
# sideDir   : (0.0000e+00 0.0000e+00 -1.0000e+00)
# liftDir   : (0.0000e+00 1.0000e+00 0.0000e+00)
# rollAxis  : (1.0000e+00 0.0000e+00 0.0000e+00)
# pitchAxis : (0.0000e+00 0.0000e+00 -1.0000e+00)
# yawAxis   : (0.0000e+00 1.0000e+00 0.0000e+00)
# magUInf   : 1.0000e+00
# lRef      : 1.0000e+00
# Aref      : 1.0000e+00
# CofR      : (0.0000e+00 0.0000e+00 0.0000e+00)
#
# Time      	Cd          	Cs          	Cl          	CmRoll      	CmPitch     	CmYaw       	Cd(f)       	Cd(r)       	Cs(f)       	Cs(r)       	Cl(f)       	Cl(r)       
0.001       	1.4163e+01	9.5570e-20	2.2901e+01	-1.1451e+01	-1.2325e+01	7.0816e+00	-4.3692e+00	1.8532e+01	7.0816e+00	-7.0816e+00	-8.7420e-01	2.3776e+01
0.002       	3.9515e+01	9.8477e-20	1.3040e+02	-6.5201e+01	-7.7755e+01	1.9758e+01	-4.5444e+01	8.4959e+01	1.9758e+01	-1.9758e+01	-1.2553e+01	1.4296e+02
0.003       	-5.7070e+00	9.4698e-20	-1.1184e+01	5.5921e+00	1.3142e+01	-2.8535e+00	2.7386e+00	-8.4456e+00	-2.8535e+00	2.8535e+00	7.5501e+00	-1.8734e+01
0.004       	-4.5388e+01	-7.8362e-21	-1.4795e+02	7.3973e+01	9.2007e+01	-2.2694e+01	5.1279e+01	-9.6667e+01	-2.2694e+01	2.2694e+01	1.8034e+01	-1.6598e+02
0.005       	-4.1224e+01	-6.8917e-20	-1.3613e+02	6.8067e+01	8.1120e+01	-2.0612e+01	4.7455e+01	-8.8678e+01	-2.0612e+01	2.0612e+01	1.3053e+01	-1.4919e+02
0.006       	-3.1599e+01	-7.6098e-20	-1.0034e+02	5.0168e+01	6.1900e+01	-1.5800e+01	3.4368e+01	-6.5967e+01	-1.5800e+01	1.5800e+01	1.1732e+01	-1.1207e+02
0.007       	1.5840e+01	-2.0527e-20	5.1041e+01	-2.5521e+01	-3.0735e+01	7.9198e+00	-1.7601e+01	3.3440e+01	7.9198e+00	-7.9198e+00	-5.2144e+00	5.6255e+01
0.008       	2.2671e+01	5.6705e-20	5.8088e+01	-2.9044e+01	-3.0805e+01	1.1335e+01	-1.7709e+01	4.0379e+01	1.1335e+01	-1.1335e+01	-1.7613e+00	5.9849e+01
0.009       	1.6888e+01	5.9314e-20	3.9797e+01	-1.9898e+01	-2.0826e+01	8.4438e+00	-1.1455e+01	2.8342e+01	8.4438e+00	-8.4438e+00	-9.2725e-01	4.0724e+01
0.01        	-1.5914e+01	2.2449e-20	-5.2151e+01	2.6075e+01	3.1777e+01	-7.9571e+00	1.8118e+01	-3.4032e+01	-7.9571e+00	7.9571e+00	5.7018e+00	-5.7853e+01
0.011       	-2.3489e+01	-2.3463e-20	-6.7290e+01	3.3645e+01	3.9190e+01	-1.1745e+01	2.1900e+01	-4.5390e+01	-1.1745e+01	1.1745e+01	5.5451e+00	-7.2835e+01
0.012       	-1.7869e+01	-2.8914e-20	-4.9093e+01	2.4547e+01	2.9034e+01	-8.9345e+00	1.5612e+01	-3.3481e+01	-8.9345e+00	8.9345e+00	4.4876e+00	-5.3581e+01
0.013       	1.4849e+01	-2.1430e-20	4.8583e+01	-2.4292e+01	-2.9667e+01	7.4246e+00	-1.6867e+01	3.1716e+01	7.4246e+00	-7.4246e+00	-5.3755e+00	5.3959e+01
0.014       	2.3961e+01	3.6274e-21	7.1804e+01	-3.5902e+01	-4.3732e+01	1.1980e+01	-2.3922e+01	4.7882e+01	1.1980e+01	-1.1980e+01	-7.8302e+00	7.9634e+01
0.015       	1.3188e+01	1.4723e-20	3.7250e+01	-1.8625e+01	-2.3558e+01	6.5941e+00	-1.2031e+01	2.5219e+01	6.5941e+00	-6.5941e+00	-4.9337e+00	4.2183e+01
0.016       	-1.1888e+01	1.8027e-20	-4.0039e+01	2.0020e+01	2.4637e+01	-5.9440e+00	1.4076e+01	-2.5964e+01	-5.9440e+00	5.9440e+00	4.6174e+00	-4.4657e+01
0.017       	-1.8297e+01	4.2189e-21	-5.7034e+01	2.8517e+01	3.6099e+01	-9.1483e+00	1.9369e+01	-3.7665e+01	-9.1483e+00	9.1483e+00	7.5826e+00	-6.4616e+01
