# Force coefficients                                                                                        
# dragDir                                                                                                   : (1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00)
# sideDir                                                                                                   : (0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00 -1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00)
# liftDir                                                                                                   : (0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00 1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00)
# rollAxis                                                                                                  : (1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00)
# pitchAxis                                                                                                 : (0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00 -1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00)
# yawAxis                                                                                                   : (0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00 1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00)
# magUInf                                                                                                   : 1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
# lRef                                                                                                      : 1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
# Aref                                                                                                      : 1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
# CofR                                                                                                      : (0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00)
#
# Time                                                                                                      	Cd                                                                                                          	Cs                                                                                                          	Cl                                                                                                          	CmRoll                                                                                                      	CmPitch                                                                                                     	CmYaw                                                                                                       	Cd(f)                                                                                                       	Cd(r)                                                                                                       	Cs(f)                                                                                                       	Cs(r)                                                                                                       	Cl(f)                                                                                                       	Cl(r)                                                                                                       
0.001                                                                                                       	2.4320613185158451718947958397620823234319686889648437500000000000000000000000000000000000000000000000e-01	-3.0416721605573928391486256801589250768511129097452131396923631981299429583032178925350308418273925781e-22	5.3536244066631422100499548832885921001434326171875000000000000000000000000000000000000000000000000000e-01	-2.6768122033315705499134651290660258382558822631835937500000000000000000000000000000000000000000000000e-01	-2.9381390506878241053456690679013263434171676635742187500000000000000000000000000000000000000000000000e-01	1.2160306592579227247252759980256087146699428558349609375000000000000000000000000000000000000000000000e-01	-1.4607815440736479639660672091849846765398979187011718750000000000000000000000000000000000000000000000e-01	3.8928428625894928583051068926579318940639495849609375000000000000000000000000000000000000000000000000e-01	1.2160306592579227247252759980256087146699428558349609375000000000000000000000000000000000000000000000e-01	-1.2160306592579227247252759980256087146699428558349609375000000000000000000000000000000000000000000000e-01	-2.6132684735625300032069162625703029334545135498046875000000000000000000000000000000000000000000000000e-02	5.6149512540193957654821588221238926053047180175781250000000000000000000000000000000000000000000000000e-01
0.002                                                                                                       	9.7898827701685786628615915105910971760749816894531250000000000000000000000000000000000000000000000000e-01	-7.1820598626477794079731382620405730916196257703355737057361596331617192845442332327365875244140625000e-21	1.7399032773880263036403448495548218488693237304687500000000000000000000000000000000000000000000000000e+00	-8.6995163869401537226622167509049177169799804687500000000000000000000000000000000000000000000000000000e-01	-9.7351617075238250365032399713527411222457885742187500000000000000000000000000000000000000000000000000e-01	4.8949413850842826700926480043563060462474822998046875000000000000000000000000000000000000000000000000e-01	-3.8045750018558643912314209956093691289424896240234375000000000000000000000000000000000000000000000000e-01	1.3594457772024441943869987881043925881385803222656250000000000000000000000000000000000000000000000000e+00	4.8949413850842826700926480043563060462474822998046875000000000000000000000000000000000000000000000000e-01	-4.8949413850842826700926480043563060462474822998046875000000000000000000000000000000000000000000000000e-01	-1.0356453205836935183015157235786318778991699218750000000000000000000000000000000000000000000000000000e-01	1.8434678094463956554704964219126850366592407226562500000000000000000000000000000000000000000000000000e+00
0.003                                                                                                       	7.8433508345000846340155931102344766259193420410156250000000000000000000000000000000000000000000000000e-01	-6.1817361143262170021950590533137402432501057779193187868274281249192370069067692384123802185058593750e-21	1.6784941433318087966597431659465655684471130371093750000000000000000000000000000000000000000000000000e+00	-8.3924707166590506446368635806720703840255737304687500000000000000000000000000000000000000000000000000e-01	-9.0433936204027709493402653606608510017395019531250000000000000000000000000000000000000000000000000000e-01	3.9216754172500356556696488041779957711696624755859375000000000000000000000000000000000000000000000000e-01	-4.4707952994090083276290670255548320710659027099609375000000000000000000000000000000000000000000000000e-01	1.2314146133909091851421635510632768273353576660156250000000000000000000000000000000000000000000000000e+00	3.9216754172500356556696488041779957711696624755859375000000000000000000000000000000000000000000000000e-01	-3.9216754172500356556696488041779957711696624755859375000000000000000000000000000000000000000000000000e-01	-6.5092290374372696604154953092802315950393676757812500000000000000000000000000000000000000000000000000e-02	1.7435864337061814932638981190393678843975067138671875000000000000000000000000000000000000000000000000e+00
0.004                                                                                                       	-4.0173138916760373073877588012692285701632499694824218750000000000000000000000000000000000000000000000e-02	7.4086177264370348671772116235509230350561423757243566180948068922162974558887071907520294189453125000e-22	1.3193041625973864205967345242243027314543724060058593750000000000000000000000000000000000000000000000e-01	-6.5965208129869390418775765283498913049697875976562500000000000000000000000000000000000000000000000000e-02	-1.4913215943410703789168136879084158863406628370285034179687500000000000000000000000000000000000000000e-03	-2.0086569458380186536938794006346142850816249847412109375000000000000000000000000000000000000000000000e-02	-8.6051777588249583894608463197073433548212051391601562500000000000000000000000000000000000000000000000e-02	4.5878638671489203881836971277152770198881626129150390625000000000000000000000000000000000000000000000e-02	-2.0086569458380186536938794006346142850816249847412109375000000000000000000000000000000000000000000000e-02	2.0086569458380186536938794006346142850816249847412109375000000000000000000000000000000000000000000000e-02	6.4473886535528254770888167968223569914698600769042968750000000000000000000000000000000000000000000000e-02	6.7456529724210387288785284454206703230738639831542968750000000000000000000000000000000000000000000000e-02
0.005                                                                                                       	-5.5369787169404927062998922338010743260383605957031250000000000000000000000000000000000000000000000000e-01	4.9351125580995740452944136209834947037919642192399317167251365789937267436471302062273025512695312500e-21	-1.0153410946498573341756355148390866816043853759765625000000000000000000000000000000000000000000000000e+00	5.0767054732492877811012021993519738316535949707031250000000000000000000000000000000000000000000000000e-01	6.5281054483341793837070099471020512282848358154296875000000000000000000000000000000000000000000000000e-01	-2.7684893584702463531499461169005371630191802978515625000000000000000000000000000000000000000000000000e-01	2.3082161147790414279512560824514366686344146728515625000000000000000000000000000000000000000000000000e-01	-7.8451948317195341342511483162525109946727752685546875000000000000000000000000000000000000000000000000e-01	-2.7684893584702463531499461169005371630191802978515625000000000000000000000000000000000000000000000000e-01	2.7684893584702463531499461169005371630191802978515625000000000000000000000000000000000000000000000000e-01	1.4513999750848927128288323729066178202629089355468750000000000000000000000000000000000000000000000000e-01	-1.1604810921583466054585187521297484636306762695312500000000000000000000000000000000000000000000000000e+00
0.006                                                                                                       	-6.2695745288579629583836094752768985927104949951171875000000000000000000000000000000000000000000000000e-01	3.9523226937962777279614612101542780475201744694844961062075300306517533499572891741991043090820312500e-21	-1.6392636811983638533973817175137810409069061279296875000000000000000000000000000000000000000000000000e+00	8.1963184059918214874329578378819860517978668212890625000000000000000000000000000000000000000000000000e-01	9.9281055228872749918167528448975645005702972412109375000000000000000000000000000000000000000000000000e-01	-3.1347872644289770382997062370122876018285751342773437500000000000000000000000000000000000000000000000e-01	5.0615311415628405633526654128218069672584533691406250000000000000000000000000000000000000000000000000e-01	-1.1331105670420802411513250262942165136337280273437500000000000000000000000000000000000000000000000000e+00	-3.1347872644289770382997062370122876018285751342773437500000000000000000000000000000000000000000000000e-01	3.1347872644289770382997062370122876018285751342773437500000000000000000000000000000000000000000000000e-01	1.7317871168954557248298442573286592960357666015625000000000000000000000000000000000000000000000000000e-01	-1.8124423928879094258803661432466469705104827880859375000000000000000000000000000000000000000000000000e+00
0.007                                                                                                       	-2.3316035039508142129305312550968665163964033126831054687500000000000000000000000000000000000000000000e-02	-6.3287967223331855843580051906685655973113771719637056148823409107428972220077412202954292297363281250e-22	-3.3605111839572970877654256582900416105985641479492187500000000000000000000000000000000000000000000000e-01	1.6802555919786468785481758914102101698517799377441406250000000000000000000000000000000000000000000000e-01	1.8625262497840575082186376221216050907969474792480468750000000000000000000000000000000000000000000000e-01	-1.1658017519754012084054473064043122576549649238586425781250000000000000000000000000000000000000000000e-02	1.5636754167811062199433536079595796763896942138671875000000000000000000000000000000000000000000000000e-01	-1.7968357671761875371529981748608406633138656616210937500000000000000000000000000000000000000000000000e-01	-1.1658017519754012084054473064043122576549649238586425781250000000000000000000000000000000000000000000e-02	1.1658017519754012084054473064043122576549649238586425781250000000000000000000000000000000000000000000e-02	1.8227065780540896433592479297658428549766540527343750000000000000000000000000000000000000000000000000e-02	-3.5427818417627060521013504512666258960962295532226562500000000000000000000000000000000000000000000000e-01
0.008                                                                                                       	5.0151761977182407470365888002561405301094055175781250000000000000000000000000000000000000000000000000e-01	-3.3396360684417342114119540890596592260626517170677113227118294747075566419880487956106662750244140625e-21	1.1417124971805305833072452514898031949996948242187500000000000000000000000000000000000000000000000000e+00	-5.7085624859026573574283247580751776695251464843750000000000000000000000000000000000000000000000000000e-01	-6.6830914136265284763993577143992297351360321044921875000000000000000000000000000000000000000000000000e-01	2.5075880988591192632952697749715298414230346679687500000000000000000000000000000000000000000000000000e-01	-3.2009743870435369839100303579471074044704437255859375000000000000000000000000000000000000000000000000e-01	8.2161505847617777309466191582032479345798492431640625000000000000000000000000000000000000000000000000e-01	2.5075880988591192632952697749715298414230346679687500000000000000000000000000000000000000000000000000e-01	-2.5075880988591192632952697749715298414230346679687500000000000000000000000000000000000000000000000000e-01	-9.7452892772387555986313145695021376013755798339843750000000000000000000000000000000000000000000000000e-02	1.2391653899529182503158608597004786133766174316406250000000000000000000000000000000000000000000000000e+00
0.009                                                                                                       	6.4190069180871844878311094362288713455200195312500000000000000000000000000000000000000000000000000000e-01	-2.3501356989223125611629887004413649215267158872107590254774134308490829425863921642303466796875000000e-21	1.8484432961331900280299578298581764101982116699218750000000000000000000000000000000000000000000000000e+00	-9.2422164806659523605958383996039628982543945312500000000000000000000000000000000000000000000000000000e-01	-1.0217093510507442299939384611207060515880584716796875000000000000000000000000000000000000000000000000e+00	3.2095034590435911336925300929578952491283416748046875000000000000000000000000000000000000000000000000e-01	-6.0327130216223601166802836814895272254943847656250000000000000000000000000000000000000000000000000000e-01	1.2451719939709544604511393117718398571014404296875000000000000000000000000000000000000000000000000000e+00	3.2095034590435911336925300929578952491283416748046875000000000000000000000000000000000000000000000000e-01	-3.2095034590435911336925300929578952491283416748046875000000000000000000000000000000000000000000000000e-01	-9.7487702984149215978959546191617846488952636718750000000000000000000000000000000000000000000000000000e-02	1.9459309991173392440089173760497942566871643066406250000000000000000000000000000000000000000000000000e+00
0.01                                                                                                        	2.3310925707690952068951162345911143347620964050292968750000000000000000000000000000000000000000000000e-01	6.6113572090750584779550725891290826793255349381595269690368651960277190937631530687212944030761718750e-22	8.6307287075596306191727080658893100917339324951171875000000000000000000000000000000000000000000000000e-01	-4.3153643537798169749208909706794656813144683837890625000000000000000000000000000000000000000000000000e-01	-4.0314305650459519858586077134532388299703598022460937500000000000000000000000000000000000000000000000e-01	1.1655462853845481585590704298738273791968822479248046875000000000000000000000000000000000000000000000e-01	-3.1498180683952692326954547752393409609794616699218750000000000000000000000000000000000000000000000000e-01	5.4809106391643647171463271661195904016494750976562500000000000000000000000000000000000000000000000000e-01	1.1655462853845481585590704298738273791968822479248046875000000000000000000000000000000000000000000000e-01	-1.1655462853845481585590704298738273791968822479248046875000000000000000000000000000000000000000000000e-01	2.8393378873386332372774631949141621589660644531250000000000000000000000000000000000000000000000000000e-02	8.3467949188257672954449617463978938758373260498046875000000000000000000000000000000000000000000000000e-01
