# Force coefficients
# dragDir   : (1.0000e+00 0.0000e+00 0.0000e+00)
# sideDir   : (0.0000e+00 0.0000e+00 -1.0000e+00)
# liftDir   : (0.0000e+00 1.0000e+00 0.0000e+00)
# rollAxis  : (1.0000e+00 0.0000e+00 0.0000e+00)
# pitchAxis : (0.0000e+00 0.0000e+00 -1.0000e+00)
# yawAxis   : (0.0000e+00 1.0000e+00 0.0000e+00)
# magUInf   : 1.0000e+00
# lRef      : 1.0000e+00
# Aref      : 1.0000e+00
# CofR      : (0.0000e+00 0.0000e+00 0.0000e+00)
#
# Time      	Cd          	Cs          	Cl          	CmRoll      	CmPitch     	CmYaw       	Cd(f)       	Cd(r)       	Cs(f)       	Cs(r)       	Cl(f)       	Cl(r)       
0.001       	2.3931e-01	-3.0104e-22	5.2676e-01	-2.6338e-01	-2.8909e-01	1.1966e-01	-1.4373e-01	3.8304e-01	1.1966e-01	-1.1966e-01	-2.5706e-02	5.5247e-01
0.002       	4.7870e-01	-7.0142e-21	-1.5067e-01	7.5334e-02	1.2264e-01	2.3935e-01	3.1469e-01	1.6402e-01	2.3935e-01	-2.3935e-01	4.7307e-02	-1.9798e-01
0.003       	5.6011e-01	-7.1367e-21	1.0012e+00	-5.0060e-01	-5.2776e-01	2.8006e-01	-2.2054e-01	7.8066e-01	2.8006e-01	-2.8006e-01	-2.7157e-02	1.0284e+00
0.004       	-1.2851e-01	7.9413e-22	-9.7140e-02	4.8570e-02	6.3730e-02	-6.4256e-02	-1.5686e-02	-1.1283e-01	-6.4256e-02	6.4256e-02	1.5160e-02	-1.1230e-01
0.005       	-1.1846e+00	5.4768e-21	-2.5133e+00	1.2566e+00	1.7166e+00	-5.9228e-01	6.6436e-01	-1.8489e+00	-5.9228e-01	5.9228e-01	4.5997e-01	-2.9733e+00
0.006       	-1.0954e+00	9.1131e-22	-2.7228e+00	1.3614e+00	1.8258e+00	-5.4769e-01	8.1373e-01	-1.9091e+00	-5.4769e-01	5.4769e-01	4.6439e-01	-3.1872e+00
0.007       	5.6462e-02	-6.7603e-22	-2.2651e-01	1.1326e-01	8.4726e-02	2.8231e-02	1.4149e-01	-8.5025e-02	2.8231e-02	-2.8231e-02	-2.8530e-02	-1.9798e-01
0.008       	9.3947e-01	8.7766e-22	2.1049e+00	-1.0525e+00	-1.3841e+00	4.6974e-01	-5.8272e-01	1.5222e+00	4.6974e-01	-4.6974e-01	-3.3166e-01	2.4366e+00
0.009       	1.0581e+00	-1.8952e-21	2.8618e+00	-1.4309e+00	-1.6772e+00	5.2906e-01	-9.0184e-01	1.9600e+00	5.2906e-01	-5.2906e-01	-2.4625e-01	3.1081e+00
0.01        	2.9794e-01	1.2123e-21	1.1235e+00	-5.6173e-01	-4.9484e-01	1.4897e-01	-4.1276e-01	7.1070e-01	1.4897e-01	-1.4897e-01	6.6890e-02	1.0566e+00
