# Force coefficients
# liftDir   : (0.0000e+00 1.0000e+00 0.0000e+00)
# dragDir   : (1.0000e+00 0.0000e+00 0.0000e+00)
# pitchAxis : (4.4208e-01 -6.0854e-02 8.9491e-01)
# magUInf   : 1.0000e+00
# lRef      : 1.0000e+00
# Aref      : 1.0000e+00
# CofR      : (0.0000e+00 0.0000e+00 0.0000e+00)
# Time      	Cm          	Cd          	Cl          	Cl(f)       	Cl(r)       
0           	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
0.001       	2.4026e+00	1.1642e+01	1.2261e+01	8.5332e+00	3.7280e+00
0.002       	-2.3370e+01	2.5808e+00	-7.6970e+01	-6.1855e+01	-1.5116e+01
0.003       	1.8670e+01	4.5767e+00	5.1390e+01	4.4365e+01	7.0252e+00
0.004       	4.9769e+01	7.5878e+00	1.6872e+02	1.3413e+02	3.4589e+01
0.005       	3.5405e+01	4.5084e+00	1.3473e+02	1.0277e+02	3.1959e+01
0.006       	-1.2710e+01	-4.7482e+00	-2.1862e+01	-2.3641e+01	1.7789e+00
0.007       	-6.2325e+01	-1.3762e+01	-2.1211e+02	-1.6838e+02	-4.3731e+01
0.008       	-6.0508e+01	-9.6822e+00	-2.2568e+02	-1.7335e+02	-5.2334e+01
0.009       	-1.6539e+01	1.1003e+00	-7.5803e+01	-5.4441e+01	-2.1362e+01
0.01        	2.2265e+01	4.1315e+00	7.7077e+01	6.0804e+01	1.6274e+01
0.011       	1.1043e+01	6.2686e-01	4.3526e+01	3.2806e+01	1.0719e+01
0.012       	-5.6423e+00	-1.8624e+00	-1.6979e+01	-1.4132e+01	-2.8471e+00
0.013       	-1.4657e+01	-2.5184e+00	-5.4757e+01	-4.2036e+01	-1.2721e+01
0.014       	-7.8393e+00	-6.6176e-01	-3.2583e+01	-2.4131e+01	-8.4522e+00
0.015       	4.8053e+00	1.8790e+00	1.5146e+01	1.2378e+01	2.7678e+00
0.016       	1.1540e+01	2.9435e+00	4.4854e+01	3.3967e+01	1.0887e+01
0.017       	6.1167e+00	1.4243e+00	2.6690e+01	1.9462e+01	7.2285e+00
0.018       	-2.6623e+00	-6.7884e-01	-7.4468e+00	-6.3857e+00	-1.0611e+00
0.019       	-8.6168e+00	-2.1052e+00	-3.4155e+01	-2.5695e+01	-8.4609e+00
0.02        	-5.1433e+00	-1.1336e+00	-2.2758e+01	-1.6522e+01	-6.2358e+00
0.021       	1.0251e+00	5.2723e-01	1.7778e+00	1.9140e+00	-1.3623e-01
