# Force coefficients
# liftDir   : (0.0000e+00 1.0000e+00 0.0000e+00)
# dragDir   : (1.0000e+00 0.0000e+00 0.0000e+00)
# pitchAxis : (4.4208e-01 -6.0854e-02 8.9491e-01)
# magUInf   : 1.0000e+00
# lRef      : 1.0000e+00
# Aref      : 1.0000e+00
# CofR      : (0.0000e+00 0.0000e+00 0.0000e+00)
# Time      	Cm          	Cd          	Cl          	Cl(f)       	Cl(r)       
0           	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
0.001       	5.4447e+00	1.4104e+01	2.2648e+01	1.6769e+01	5.8793e+00
0.002       	4.0182e+01	3.7198e+01	1.2957e+02	1.0497e+02	2.4603e+01
0.003       	-1.0767e+01	-7.8804e+00	-2.7135e+01	-2.4335e+01	-2.8002e+00
0.004       	-4.7336e+01	-4.3662e+01	-1.4310e+02	-1.1889e+02	-2.4215e+01
0.005       	-2.5894e+01	-2.8153e+01	-7.0474e+01	-6.1131e+01	-9.3424e+00
0.006       	-4.8028e+00	-8.4595e+00	-7.6878e-01	-5.1872e+00	4.4184e+00
0.007       	4.7100e+01	4.1167e+01	1.3013e+02	1.1217e+02	1.7965e+01
0.008       	1.0087e+01	1.1922e+01	2.3924e+01	2.2049e+01	1.8756e+00
0.009       	1.3282e+00	1.3036e+01	3.5634e+00	3.1099e+00	4.5346e-01
0.01        	-1.4658e+01	-6.8544e+00	-3.7897e+01	-3.3606e+01	-4.2911e+00
0.011       	-1.0765e+01	-1.2380e+01	-2.5799e+01	-2.3665e+01	-2.1345e+00
0.012       	-5.7719e+00	-1.0595e+01	-1.3311e+01	-1.2427e+01	-8.8342e-01
0.013       	1.0843e+01	7.4169e+00	2.8021e+01	2.4853e+01	3.1677e+00
0.014       	1.0843e+01	1.1497e+01	2.5103e+01	2.3394e+01	1.7089e+00
0.015       	6.7653e+00	9.9667e+00	1.5482e+01	1.4506e+01	9.7571e-01
0.016       	-8.1932e+00	-5.3291e+00	-2.0183e+01	-1.8285e+01	-1.8982e+00
0.017       	-9.9923e+00	-9.7807e+00	-2.2217e+01	-2.1101e+01	-1.1163e+00
0.018       	-4.0787e+00	-6.1685e+00	-8.1627e+00	-8.1600e+00	-2.6716e-03
0.019       	6.1372e+00	4.3689e+00	1.4770e+01	1.3522e+01	1.2478e+00
0.02        	7.0049e+00	7.1510e+00	1.4904e+01	1.4457e+01	4.4685e-01
0.021       	2.1812e+00	3.8778e+00	3.5363e+00	3.9493e+00	-4.1304e-01
0.022       	-4.3971e+00	-2.9977e+00	-1.0199e+01	-9.4965e+00	-7.0228e-01
0.023       	-4.4760e+00	-4.4535e+00	-8.5862e+00	-8.7691e+00	1.8290e-01
0.024       	-6.2202e-01	-1.6494e+00	3.2107e-01	-4.6148e-01	7.8255e-01
0.025       	3.1742e+00	2.4456e+00	7.4397e+00	6.8941e+00	5.4565e-01
0.026       	2.6704e+00	2.9528e+00	4.6392e+00	4.9900e+00	-3.5077e-01
0.027       	-1.6791e-01	7.9286e-01	-1.8480e+00	-1.0919e+00	-7.5609e-01
0.028       	-2.0315e+00	-1.3196e+00	-4.8401e+00	-4.4516e+00	-3.8848e-01
0.029       	-1.2984e+00	-1.3903e+00	-1.4483e+00	-2.0225e+00	5.7424e-01
0.03        	5.7918e-01	4.1494e-02	2.8770e+00	2.0177e+00	8.5934e-01
0.031       	1.3865e+00	1.1115e+00	3.6332e+00	3.2031e+00	4.3009e-01
0.032       	7.1829e-01	1.0199e+00	6.6984e-01	1.0532e+00	-3.8337e-01
0.033       	-4.7653e-01	1.2415e-01	-2.1665e+00	-1.5598e+00	-6.0670e-01
0.034       	-8.7800e-01	-4.9271e-01	-2.3198e+00	-2.0379e+00	-2.8191e-01
0.035       	-3.4763e-01	-3.4875e-01	-3.5418e-02	-3.6534e-01	3.2992e-01
0.036       	5.1551e-01	3.0878e-01	2.2048e+00	1.6179e+00	5.8691e-01
0.037       	7.2575e-01	6.4462e-01	2.1503e+00	1.8009e+00	3.4940e-01
0.038       	3.1486e-01	4.7689e-01	4.6115e-01	5.4543e-01	-8.4281e-02
0.039       	-3.1775e-01	2.5587e-02	-1.3187e+00	-9.7708e-01	-3.4158e-01
0.04        	-4.8093e-01	-2.0276e-01	-1.3563e+00	-1.1591e+00	-1.9720e-01
0.041       	-3.1000e-01	-1.3582e-01	-7.2506e-01	-6.7253e-01	-5.2533e-02
0.042       	3.3753e-01	3.0297e-01	1.4002e+00	1.0376e+00	3.6255e-01
0.043       	5.7334e-01	5.1810e-01	1.9114e+00	1.5291e+00	3.8238e-01
0.044       	4.4732e-01	4.6002e-01	1.4693e+00	1.1820e+00	2.8734e-01
0.045       	-4.5971e-02	1.4653e-01	-2.6878e-01	-1.8036e-01	-8.8419e-02
